id,chain,host,location,year,subtype
ADF58349,A,,GermanyBY,2009,H1N1
ADF83497,A,swine,Guangdong,2009,H1N1
ADF83650,A,,Vietnam,2008,H5N1
ADG08198,A,swine,Hong Kong,2009,H1N1
ADG08308,A,swine,Hong Kong,2009,H1N1
ADG21416,A,,Egypt,2009,H5N1
ADG21437,A,,Egypt,2010,H5N1
ADG21441,A,,Egypt,2010,H5N1
ADG21445,A,,Egypt,2010,H5N1
ADG28681,A,avian,Egypt,2008,H5N1
ADG28683,A,avian,Egypt,2008,H5N1
ADG59044,A,swine,Guangdong,2010,H1N1
ADG59049,A,avian,Shandong,2006,H5N1
ADG59054,A,avian,Liaoning,2007,H5N1
ADG59055,A,avian,Guizhou,2008,H5N1
ADG59060,A,avian,Liaoning,2006,H5N1
ADG59063,A,avian,Tibet,2006,H5N1
ADG59064,A,avian,Hunan,2007,H5N1
ADG59067,A,avian,Xinjiang,2006,H5N1
ADG59070,A,avian,Xinjiang,2005,H5N1
ADG59089,A,avian,Shanxi,2006,H5N1
ADG59090,A,avian,Hunan,2004,H5N1
ADG85225,A,swine,NC,2010,H1N1
ADG85233,A,swine,IN,2010,H1N1
ADG85794,A,swine,Minnesota,2010,H1N1
ADI34060,A,avian,Karachi,2004,H7N3
ADI34061,A,avian,Chakwal,2004,H7N3
ADI46319,A,swine,East Java,2007,H5N1
ADI46320,A,swine,East Java,2007,H5N1
ADI52834,A,avian,Ontario,2009,H1N1
ADI52836,A,avian,Ontario,2009,H1N1
ADI52837,A,avian,Ontario,2009,H1N1
ADJ18171,A,,Iran,2009,H1N1
ADJ38087,A,swine,Iowa,2010,H1N1
ADJ41816,A,,Philippines,1982,H3N2
ADJ80234,A,swine,Sweden,2010,H1N2
ADK26592,A,swine,Illinois,2010,H1N2
ADK48778,A,swine,Italy,2010,H1N2
ADK56450,A,avian,Guangzhou,2005,H9N2
ADK89127,A,swine,Heilongjiang,2007,H3N2
ADL32414,A,,Madrid,2009,H1N1
ADL64047,A,avian,Chandigarh,2003,H9N2
ADM23842,A,,Alagoas,2010,H1N1
ADM23846,A,,Alagoas,2010,H1N1
ADM23847,A,,Alagoas,2010,H1N1
ADM23851,A,,Bahia,2010,H1N1
ADM33949,A,avian,Bangladesh,2010,H5N1
ADM85846,A,avian,Egypt,2010,H5N1
ADM85857,A,avian,Egypt,2010,H5N1
ADM85867,A,avian,Egypt,2010,H5N1
ADM95450,A,avian,Cambodia,2007,H5N1
ADN89270,A,,California,2009,H1N1
ADN92778,A,,Taiwan,2008,H1N1
ADO14359,A,,Belgorod,2009,H1N1
ADO14466,A,avian,Shandong,2008,H9N2
ADO29901,A,,Qingdao,2009,H1N1
ADO29908,A,,Qingdao,2010,H1N1
ADO34927,A,swine,Missouri,2009,H1N1
ADO65971,A,swine,Argentina,2010,H1N2
ADP05197,A,avian,Fujian,2007,H9N2
ADP05204,A,swine,Iowa,2009,H1N1
ADP05208,A,swine,North Carolina,2009,H1N2
ADP69273,A,avian,Emirates,2002,H9N2
ADQ92582,A,avian,Delaware,2007,H5N1
ADR01746,A,swine,Italy,2010,H1N2
ADR51661,A,swine,Italy,2002,H1N2
