p_id,sero
CAP49192,H1N2
ABB88369,H3N8
AHB22687,H1N1
AHK10800,H7N9
CAC81018,H3N2
AAV80798,H3N2
AGZ61178,H3N2
AET76679,H3N8
AAA72339,H1N1
AGU69969,H1N2
ACI26571,H3N2
AFN06490,H1N2
AHI97714,H1N1
AFU08908,H1N2
CY051231,H1N1
AHH25326,H3N2
ACF22148,H3N2
ABP49481,H1N1
AAG10650,H7N3
BAF43466,H3N9
AHB51390,H1N1
ACZ48594,H7N3
AFM46852,H1N2
ABW40114,H1N1
AGZ60571,H3N2
AHB22213,H3N2
AEF28999,H1N1
AEO89172,H5N1
AGL09815,H3N2
ADV58876,H3N2
ABD59848,H1N1
AFU10043,H3N2
AHB22927,H1N2
JN582041,H5N1
CY072075,H1N1
ACF41834,H1N1
AGL60775,H10N7
ABY81426,H1N1
ACA50026,H9N2
AFV53260,H1N1
ACV90903,H5N2
AHB21700,H1N1
AFI62127,H1N2
ABB87366,H9N6
JQ365025,H1N1
BAL61225,H5N1
AGR45144,H1N2
AGL04365,H3N2
CY062474,H5N1
AGW83314,H1N1
AAW29080,H9N2
CY062453,H5N1
ABD79101,H1N1
ACR39190,H1N2
CY029639,H5N1
ACF36458,H3N2
ABI85000,H7N3
AGR45311,H1N2
AGL04337,H1N2
AHC28996,H5N5
AAY52507,H9N2
AAD26938,H7N2
AGK62683,H1N2
ABD16718,H3N2
AGR45141,H1N2
CAB95857,H9N2
JX021305,H5N1
AGF69028,H9N2
AGZ62388,H1N1
ADB82656,H1N2
ADV69079,H1N1
AGT18724,H1N1
AHM24199,H1N1
ABI84495,H5N2
AHN97094,H10N8
AIA62032,H3N8
CY075890,H1N1
ABI21519,H1N1
AGK24463,H1N1
AAY52504,H9N2
AIB06038,H1N2
JN807830,H5N1
AFQ37281,H1N1
AGL05056,H1N1
ACO07051,H1N2
AGG53177,H3N2
AHN97322,H3N2
AGM16027,H1N2
ADF83497,H1N1
ACO07043,H5N1
AFM46654,H1N2
AGA19326,H3N1
AAF87283,H1N1
AFV53271,H2N2
AGO17946,H9N2
AFM47137,H3N2
ADW10721,H1N1
AHH25330,H1N2
ACY25801,H9N2
AGL04629,H1N1
AIC73827,H1N1
CY095955,H1N1
AGI02344,H5N1
DQ371930,H5N1
ACD35865,H3N2
AFI62151,H1N2
BAM63158,H7N7
AGF68987,H1N2
ABI84849,H7N2
ADU53614,H1N1
AAC54377,H7N7
AHB72834,H1N1
GU045582,H1N1
AGI54182,H1N1
AGZ62363,H1N2
AHL95518,H3N2
AGK43414,H1N1
ACY67022,H3N2
AFN18875,H1N1
ABJ16785,H3N2
ACU80014,H1N1
AHA57151,H3N2
AGS08997,H3N2
AFG99138,H3N2
AEM63482,H1N1
BAN14745,H3N2
ADV69106,H1N2
AGW27061,H5N1
ABF21276,H1N1
AIA66731,H1N1
ACE77946,H3N2
AEX30540,H3N2
AIC73767,H1N1
ABW81507,H1N1
AFR76238,H1N1
JN588809,H5N1
AHL81845,H3N2
ACY80644,H5N2
AFU09053,H3N2
ACD56313,H2N2
ADG59063,H5N1
AAK70456,H1N1
AHF20383,H5N1
ACN90987,H3N1
ABB86946,H1N1
AFJ77517,H3N2
ADR51661,H1N2
AGO87255,H5N1
CY089624,H1N1
AFG72085,H3N2
AGI52989,H1N1
AAA43248,H2N2
EF541401,H5N1
EU124172,H5N1
AEW31134,H1N2
AFY08044,H1N1
BAM62981,H3N2
ADG59067,H5N1
AGA19305,H1N1
BAI83395,H1N1
AHZ65741,H3N2
AEN94886,H1N1
AAA43578,H2N3
BAK42590,H5N1
ADY70986,H1N1
DQ997392,H5N1
AAY28395,H3N2
BAN66743,H9N2
AGZ62404,H1N1
ADM33949,H5N1
JN588810,H5N1
ACY06458,H3N2
AFX65251,H1N2
ACU44395,H1N1
BAC43764,H2N2
AHZ65761,H1N2
JN807851,H5N1
BAK42591,H5N1
BAA02768,H1N1
ADC45813,H1N1
ACI41126,H5N1
ADT78961,H2N2
AHI97132,H5N2
AGE02663,H3N8
ABQ57239,H3N2
CY088769,H5N1
AAA43117,H2N9
AGL06095,H3N2
ADY71787,H1N1
AFM47165,H3N2
AHX38144,H1N1
AFH00098,H3N2
AFM46642,H1N2
AFV33954,H3N2
AFU08956,H1N2
ABP49327,H1N1
AHY20935,H1N2
AFV53314,H2N2
AHB22342,H1N1
AFR76623,H1N1
AHW46681,H1N2
ADR51662,H1N2
AFZ15937,H1N1
AET76690,H3N2
AHD25046,H1N2
AHG26632,H1N2
AFM46999,H1N1
AAU25851,H1N1
AFM46856,H1N2
AGO00337,H1N2
CY057342,H1N1
AHC69370,H1N2
AFR76471,H1N2
AFI73232,H9N2
AHY84544,H1N1
AFJ13380,H2N7
AAY52517,H9N2
BAJ83422,H9N1
AGG86873,H1N1
ABB79957,H3N2
AGL07410,H3N2
CAD20336,H3N8
AAX47525,H3N2
CAC86610,H1N1
BAK41887,H3N2
